GeneSymbol	A1	B1	C1	D1	E1	A2	B2	C2	D2	E2
CCDC176	5.3057075	5.4677086	5.9253783	5.434058	5.615427	4.1506577	4.961801	4.477529	4.6108313	4.3876286
NINJ1	9.120699	8.801319	9.102817	9.633326	8.739762	10.220693	10.192016	10.511165	10.913819	9.960679
PHACTR1	7.357045	6.884926	7.0871434	7.2802553	7.5058093	8.243268	8.228301	8.237577	8.39827	8.351757
NKX3-1	5.751952	6.0900116	5.7805533	6.2014394	6.602056	7.713796	7.94486	7.9139204	8.227411	7.576392
ISG20	9.101454	9.223182	9.110393	8.651299	9.702616	9.43635	9.940348	10.681967	10.626986	10.980613
C6orf132	7.008341	6.5344195	6.25602	5.6876907	6.2929864	5.563945	5.5749526	4.9130926	5.109102	4.9867053
CCL2	14.597239	14.319937	14.768064	14.480007	14.563347	12.947876	13.18335	13.136474	13.096583	13.262342
C1orf21	6.554391	7.0579724	7.666956	7.737906	6.6259837	5.7335706	6.2641044	6.3874497	6.8710456	5.3454356
NAMPT	9.805761	9.263933	9.011604	8.844446	8.945655	8.306218	8.143675	8.16181	7.6780987	7.9792204
LINC00473-005	5.0987105	4.7584496	4.4202995	5.0554624	4.1463795	1.9506876	3.7621021	2.9124913	2.301561	3.3929172
CXCL2	16.934425	17.233686	17.108486	16.940443	17.384418	15.974128	16.163666	15.737853	15.765851	16.406868
IL23A	8.348285	8.683104	7.782992	9.606696	7.752084	6.758835	6.731455	6.9037995	7.457655	5.9920096
POLR2A	8.074777	8.139525	8.219069	8.231124	7.9092064	9.774454	9.948046	9.873076	10.105021	9.647226
TENC1	8.088625	8.121134	8.46452	8.190764	8.604923	7.0799317	7.370304	7.1890974	6.90821	7.641843
GPX3	8.576444	8.986409	9.081992	9.713829	8.513727	10.641062	10.863717	10.454494	10.930794	9.41687
HMOX1	7.28459	7.0279374	6.9933195	8.026512	7.099965	5.7100716	5.8898892	5.7795076	6.5917754	5.8573956
MT1G	10.346963	8.504798	7.8339524	7.1011696	9.019503	10.46249	10.157463	9.0941	8.453616	10.40073
ADAMTS1	9.940948	9.795909	10.56364	9.395988	10.121565	8.883457	9.382495	8.758686	8.379844	8.82348
OVGP1	2.5967937	3.6089084	4.7583613	3.8191538	4.7347503	4.414721	5.1825104	5.6407523	5.208872	5.641918
FAM65C	6.0412917	5.443243	6.786309	6.454589	4.873068	3.2957175	4.0949607	5.4789686	4.579309	3.698557
RP11-589P10.5-001	3.570487	4.296321	3.8704371	4.4851995	3.4002202	4.652582	5.0688887	4.6091995	5.2676725	5.0633683
RNF152	4.441121	4.6494102	5.593792	5.306968	5.8223004	2.350578	4.112229	3.9815123	3.7709067	4.715969
linc-TRIM29-3	6.1844425	6.809973	6.318924	6.6180086	6.5691466	7.369548	7.5456595	7.0725617	7.920097	7.640399
C17orf108	2.6233604	3.626387	4.036848	3.8978992	2.7904484	4.338858	4.826266	4.2905607	4.6034794	3.9830852
SH3TC1	4.8020835	5.0072165	4.313114	3.4727097	4.573625	3.3105533	3.6904423	3.3663216	2.508254	4.0126915
FABP5	5.6495013	5.92119	5.757981	5.833415	5.8589325	4.8211308	4.6083994	4.613912	4.7496367	4.8426933
IFT81	4.3946824	5.08444	5.243587	4.645139	5.156665	2.874055	4.142144	3.868249	3.8196201	4.3298373
LGR4	9.041299	8.350978	9.002971	9.267033	9.278292	8.285455	7.9613457	7.7055697	7.565902	8.304255
IL15RA	10.070385	9.51126	9.209999	9.344232	9.862996	10.377749	10.360526	10.859421	10.989101	10.66197
linc-GBP5-3	3.2531242	3.9194455	3.615128	4.247535	2.982022	4.8961325	5.570482	3.3758414	5.170624	4.5992045
linc-C20orf111-BP	3.6948166	3.7310839	3.4218233	3.0869102	2.8630795	4.6386833	4.449822	4.4446135	4.4162455	3.9161973
FR373416	8.156641	8.49391	7.596125	9.431497	7.534444	6.5035877	6.6025424	6.5964217	7.192831	6.03595
STK17A	5.2309504	4.8516817	5.2389565	4.3430023	5.315928	3.9322917	4.2454643	3.6348104	2.0885217	4.547931
APBB1IP	10.6554365	11.138926	11.095974	10.767375	10.7528515	9.465444	9.871301	9.506535	8.906157	9.594584
AQP9	7.439723	6.373859	6.2092695	4.656591	6.1262712	6.1462607	4.7974796	4.3925676	3.5672925	4.5575585
TRIB2	4.796139	4.9811115	4.52923	4.3364816	5.6516933	1.781167	3.5263073	1.9064323	2.738609	3.6863346
FTHL17	13.988123	13.155799	13.04592	13.143824	12.524948	12.616992	12.323551	11.96912	11.723717	12.023363
ADAMTS9	7.432931	6.322859	7.641843	6.6929636	7.0889435	8.479091	8.435514	8.550863	8.148862	7.898991
SLC38A1	3.9383059	4.5685177	6.593642	4.496336	5.6027	1.8534825	3.2369556	4.6795774	3.2034423	4.194762
KRT75	4.8775525	6.80859	5.9755645	6.1371	6.9307995	2.782769	4.788025	5.1372952	5.263578	6.4127316
ICOSLG	3.5356236	2.9974782	3.8343894	4.571872	4.059428	4.717385	5.259728	5.3353453	5.81649	5.2897625
linc-TRIO-5	1.2980393	3.9271793	5.110285	4.5553594	3.8377817	4.5108647	5.3941665	6.1969733	6.318924	4.519244
PRLR	2.7329538	1.3802247	2.6525712	3.3053365	2.4455304	5.0168986	3.9900296	4.5579042	4.721092	4.0582423
GRHL3	5.6039124	4.9206405	4.7257237	4.737013	5.440783	7.1044803	6.5557575	6.293283	4.8445807	7.258435
LOC100129363	4.0770607	3.951716	4.306082	4.540361	4.502821	4.7020674	5.262692	5.719106	5.8358912	6.39202
IL15RA	9.587169	9.005392	8.98554	8.944434	9.548417	9.985181	9.98369	10.689657	10.699319	10.191719
IGF1	7.6244764	8.902958	9.204287	9.227762	8.022114	5.8441067	7.255313	7.882246	7.786568	6.885189
FLJ27354	4.7713623	4.459441	4.159675	4.6653285	4.390581	5.469599	5.973557	5.4709744	5.223193	5.3738446
SYNDIG1	5.049764	5.932567	6.275966	6.3763347	5.365778	1.99147	3.3779016	4.2894254	3.1041455	3.6345687
FAM65C	5.2917695	4.595435	5.988893	5.6183534	3.9194455	2.9137506	3.1607034	3.9385457	4.4289145	3.40835
LINC00884-002	3.575401	2.8804543	3.9772604	3.2771783	4.187448	5.1110063	4.018332	5.0604887	4.7698054	4.318101
CCL7	10.557183	9.530762	10.261369	10.455935	10.1301775	8.225578	8.193865	8.307337	7.4736247	8.200582
JAM2	4.254614	4.988141	5.619995	5.9940453	5.81997	5.969337	7.2590322	7.207189	7.3809695	6.592124
C9orf47	4.017383	4.288221	4.564251	4.2359977	4.182981	2.3084729	3.604031	3.0881133	3.466247	3.1344788
HPD	5.24835	4.9538636	5.972348	4.309453	4.292035	4.7688346	2.8136072	4.436733	3.2820034	3.2862406
RUNX1-IT1	7.4537277	6.7771726	5.41875	5.2349086	6.503898	3.3877373	4.2450376	3.9829402	3.545272	5.7138877
PDE4D	5.6387115	5.6303515	6.0373507	5.8687754	6.2939653	4.139046	4.478684	4.608089	4.980943	5.0564313
STK32B	6.5956573	6.2004642	6.7418423	6.9114747	6.8564663	4.933557	5.174787	4.9380355	6.4741364	5.4225807
PLEKHA4	5.6896815	6.4724402	6.311204	6.444747	6.104422	6.8026795	7.426823	7.1490564	8.190076	7.4847736
ZSCAN5A	5.799008	5.4885077	5.863644	5.692483	5.915396	4.4899907	4.8095455	4.5522265	4.6671495	4.7490396
GLRX	14.949387	13.637688	14.551795	14.332671	14.966195	13.371714	13.145398	13.260973	13.291957	13.871696
MST4	3.677764	3.9164448	4.7657228	4.649944	4.829935	5.7311697	5.974089	5.811493	5.6348615	5.4957085
FR342398	6.7239733	6.3697104	6.8028183	5.0837	6.210259	4.936058	4.7508655	5.6871414	2.7890317	5.155681
IL15RA	9.95697	9.400735	9.169452	8.929754	9.497773	10.402921	10.308341	10.758658	10.472905	10.254313
RAB27B	10.178236	9.625631	10.118959	10.099867	9.627071	9.399084	8.817098	8.938957	7.9096875	8.568391
IL6	17.759605	16.934425	17.035099	16.68222	17.655796	15.774092	15.375897	15.311981	15.147671	16.155573
FTH1	13.883501	13.743557	13.311907	13.608324	13.438265	12.687221	12.838509	12.440401	12.404667	12.521472
THBS1	12.292484	12.600145	11.624846	10.341725	11.613403	9.701658	10.177652	9.607489	9.589599	9.889692
UPP1	7.5055428	6.6750307	6.057702	6.420118	7.3726096	6.059614	5.714485	5.157707	5.5462112	6.286117
LANCL2	3.7416842	4.3875556	4.8293576	4.603421	4.632759	1.6795751	4.233015	3.542453	3.723524	3.9643295
SYN2-002	11.887418	10.904685	10.85071	11.241758	11.317692	10.18088	9.389606	9.515338	9.815121	10.1769285
BAIAP2	5.7702227	6.6158266	6.8681927	6.8326697	6.455479	6.668345	7.990512	8.115875	8.524706	6.9460216
DACT2	11.139902	10.479779	9.497165	8.057003	9.977819	10.025461	9.263382	8.140805	7.001561	8.91271
RP11-439A17.9-001	1.3211473	3.3952212	3.4057636	3.432323	4.1898603	4.593609	4.9541445	4.937046	4.770636	4.9454875
TNFRSF6B	8.987081	8.441224	8.03302	6.7151823	7.7812085	9.570921	9.100847	9.457925	7.9699035	8.919125
PRIC285	9.742622	10.24006	9.902125	9.5832205	9.9094515	10.58641	11.312414	11.013061	11.551693	11.47346
MARCKSL1	10.462832	9.843008	9.484398	10.434787	9.942672	11.072806	11.517866	11.291429	12.314885	10.593104
AREG	7.316987	7.074383	7.15884	7.6711574	7.1618657	5.05241	5.5774975	4.9925723	5.2348175	5.900099
SLC12A8	7.5625095	6.702722	7.607878	5.6108904	7.0709257	5.348222	5.1627936	5.6187634	5.3789783	5.795384
PCSK1	6.2475324	5.812843	5.24077	6.7718177	6.6212144	4.3260045	5.0672636	3.1860628	5.361122	5.896969
KDELR3	10.58828	10.549097	10.815448	10.250819	10.8536005	9.046834	9.43074	9.607643	9.361008	9.683444
PMAIP1	7.050388	6.186945	7.051094	6.9013357	7.5665026	7.898648	8.153904	8.2911825	8.017278	7.972195
MAGED4B	7.832777	8.210448	7.492955	7.6261606	8.043476	6.626786	7.1024837	6.5249476	6.930179	6.9883833
CDKN3	7.737206	6.801132	6.9992423	6.4840603	7.3922367	6.1245227	5.5588427	5.8885217	6.094211	6.5418468
SLC6A13	1.5811839	2.7612703	2.8472085	2.1945817	3.335132	5.056009	4.954419	4.772802	4.4005117	4.082319
RP11-809O17.1-002	3.0811298	4.3555884	5.131836	4.730155	5.4823933	4.683033	5.2292757	6.1288433	5.944171	6.122562
NAMPT	9.457268	9.140789	8.869626	8.527097	8.781165	8.051728	7.831857	8.126959	7.3930655	8.174113
ZNF423	7.7841697	7.1895885	7.224551	5.8697925	7.6240973	6.546097	6.586855	5.984161	5.0753365	6.2298946
SERPINE2	16.251644	15.808709	16.331757	15.753134	16.546549	15.04172	14.886815	15.087419	14.392905	15.268359
FCAR	7.519235	5.351498	5.258115	5.366495	5.6950865	6.0355783	4.716573	3.8761065	4.7927866	4.3383865
CCDC69	5.804338	4.962986	5.6903615	4.6240864	4.507525	3.8891556	3.5687137	4.383317	3.798114	3.906958
ATP2A3	5.466741	4.7663813	4.207809	4.3896894	4.4998655	2.3374395	2.9831393	2.509539	2.9530096	3.2324464
C6orf192	6.146809	6.175314	6.644167	6.1744013	6.5403676	4.5049767	5.2558765	5.8501787	4.977189	5.8085093
MT2A	15.03141	14.397632	14.152763	14.706355	14.918158	13.735762	13.354991	13.216662	13.280277	13.840383
LOC100128668	7.2513547	7.2008014	6.365868	5.235553	5.9749255	5.7961473	5.2847986	5.9392667	2.5372643	5.7881546
TNC	14.1677265	14.072028	13.88156	13.81698	14.45427	12.920426	13.578298	12.914056	12.565752	13.307172
CCL8	12.240026	10.769498	10.999957	9.935299	11.417503	6.877806	7.075602	6.7936645	6.1907234	7.8859124
IL1RL1	5.733868	4.458142	6.9283853	6.548174	6.930628	4.660851	3.5898645	5.116754	3.8334215	5.4573913
FR014741	5.8888927	5.7021194	5.432899	4.925481	4.958935	3.95061	4.661598	4.4080877	2.3655646	4.343436
C11orf87	4.453045	3.9076142	4.0970016	4.2065744	4.3245935	1.3496834	3.2547424	2.0210946	3.2646668	2.6390705
SLC2A1	8.405689	8.188653	7.4180527	8.057922	8.614868	9.344232	9.636495	8.960014	9.157117	9.45912
linc-CCND3	7.665868	7.069293	6.914108	6.0310936	6.637726	6.29261	6.1750426	5.453559	5.6532807	5.240036
SUB1	4.347026	4.305093	4.31096	4.703633	4.230832	1.7915465	4.440324	2.1511738	3.3895814	3.43935
HTR2A	7.5119815	7.726105	7.5291815	6.1243973	8.273959	5.9088345	6.115892	6.4034033	5.1751094	7.1745195
SERPINE2	15.356785	15.112562	15.498831	15.082279	15.708238	14.004439	14.047376	14.312498	13.81698	14.52019
linc-DDX19B	5.7805533	5.1295433	3.9949749	4.751538	5.2566237	6.9253807	6.1388407	6.257414	5.0652018	7.326855
TSPAN15	6.7791653	6.161191	4.0275245	4.636014	6.5462885	4.7899733	4.996704	3.6033146	3.6909974	5.742838
LBP	13.452094	12.205456	11.1345825	9.411273	10.501638	9.32273	8.127891	8.121552	6.27243	8.03678
CCL3L3	10.3335705	8.299106	8.131383	7.593327	8.338936	7.5362434	6.2653775	6.737921	6.992972	6.355033
RP11-48B3.4-001	1.2787149	3.5976644	4.060748	3.7695825	3.5878823	4.304852	4.5817103	4.952543	4.6447573	4.31288
SEC16B	5.3931017	6.4941053	5.2391005	5.161693	5.7970467	2.5623448	5.418843	3.5995157	4.230397	5.047618
RSAD2	4.817415	5.043859	5.4863696	4.6795774	4.976708	5.629193	6.3148556	6.928188	6.51044	6.9319906
HSPA1A	11.203017	11.044971	11.480224	11.864987	11.305654	13.066887	13.04324	12.886933	13.227943	12.63645
AQPEP	6.398306	5.5863357	5.0721292	5.7230835	5.186208	4.9821224	4.9540772	4.19043	4.6066265	4.1102743
LINC00910-003	5.4958076	6.3114014	5.432584	6.9040327	6.7305465	7.167257	8.1964445	8.064282	7.74041	9.208035
linc-ELTD1-2	7.965457	8.01142	8.657435	7.9149356	7.9484863	6.6128826	6.948737	7.489197	7.204371	7.196926
KCTD15	6.3315496	5.6923428	6.1303253	6.2804	5.9732804	5.0654655	4.43276	4.5784597	4.809372	4.815733
ADAMTS14	4.722137	3.580414	4.935013	3.769442	4.250203	1.6276472	2.5487742	2.4961085	2.3733394	3.3080292
LPCAT4	5.583014	5.2068534	5.8616962	5.243497	5.4644485	3.9074583	4.7296143	4.341066	4.7957993	4.531633
ZFPM2	1.9034001	4.249594	5.679616	5.549004	4.8414216	3.4547503	6.037655	6.6572657	6.632586	5.157488
C2CD4A	5.5769005	5.561484	5.706292	5.7616215	5.042693	4.25441	4.391897	5.1462817	4.1887937	4.177776
PRDM1	4.9541445	4.445475	4.427196	4.3733478	4.0688844	3.6784651	3.4729102	2.9615045	3.75953	2.1812868
IFIT2	9.030867	8.956382	9.338097	8.625994	9.852027	9.5186405	10.752039	10.88996	11.6459675	11.583134
TNF	6.0249214	4.8898706	4.409806	4.4254904	5.7597113	6.783345	6.246708	5.69114	7.0900145	6.3507085
FR257747	5.140453	6.304324	5.727812	6.7341146	5.2715054	3.8836503	5.155742	4.1183476	5.039459	3.8613107
RP11-356I2.4-006	1.6910542	3.8552978	3.8066719	3.742606	3.7576292	5.1733794	6.2955713	6.5663333	6.3497906	6.1242795
KCNJ18	5.329413	4.797631	4.829875	3.926797	4.671081	4.047078	3.903453	3.6297257	2.5055728	2.5786924
PYCR1	7.347765	8.42326	7.906278	7.5340815	7.9434752	6.279671	6.9042106	7.0193315	6.9017987	7.0331106
ADORA2A	7.5401626	6.8750443	7.2367153	8.276022	7.257161	8.960717	8.342384	8.735222	9.724337	8.268282
CSF3	13.083264	12.996612	12.011763	12.455482	12.191688	9.678017	9.729505	9.950344	9.77953	9.880703
linc-USP24-2	4.572319	4.4427958	4.107774	3.9744508	4.1875443	5.3803935	5.109278	5.466501	5.2715054	5.6909714
LOC101929299	5.2103753	4.019112	5.6335287	5.770871	5.697696	3.3338017	3.6296234	4.741723	4.7732215	4.518811
SFRP1	8.100721	9.101343	8.824245	9.568771	8.533814	6.583838	7.6737523	7.6705494	7.637953	7.383414
linc-RASA3-7	5.9323797	4.717825	3.8365915	4.281553	4.8909993	6.9960904	5.8765945	5.8131785	4.391897	6.7869277
PDK1	6.7065244	5.9048223	5.214555	5.30598	6.5172825	5.7027984	5.3802533	4.285688	3.0567079	5.889988
MYZAP	4.8643103	3.667421	3.823221	3.9386125	3.7040505	2.3295999	2.042403	2.8139791	3.4451773	2.7748406
AC006378.3-001	5.465889	5.600537	6.3229756	6.023364	6.695631	6.713819	6.9460216	7.3466425	7.5151978	7.4539175
DDIT4L	4.6971235	4.935013	4.9166203	4.6963034	5.237105	1.3179199	3.0885544	1.637063	2.5724528	3.2652674
HNRNPDL	5.2102923	5.1817317	5.0561028	5.1244273	5.0530734	3.9575477	4.8949533	3.6314328	3.786018	4.1526885
KIAA0226L	6.3949304	4.8802876	4.5912538	4.9716234	4.6339126	3.7443707	3.3651485	3.2454083	3.3529775	3.2592824
LOC100130476	2.002413	2.0070848	1.5823283	1.9555482	1.2819765	4.3868456	4.9602747	5.3859787	5.4428263	4.5699244
DDO	2.476369	4.455209	4.396592	4.1285806	3.8159356	4.7404695	5.5140915	5.2060175	5.6915374	5.49061
STON1	6.673211	5.1239743	6.053281	4.8865924	6.125419	3.495507	4.239168	3.2331905	4.0397882	4.561318
ADORA2A	8.048374	7.580266	7.8246784	8.93447	7.845088	9.407664	8.950333	9.326313	10.466442	9.067944
LOC101927106	3.942176	3.411136	3.4682648	4.051746	3.8275952	4.9642253	4.59135	4.302042	4.6269355	5.632528
CC2D2A	6.762846	6.7158313	7.3044515	6.7614455	6.6951203	5.0208354	6.33648	5.969882	5.2574778	5.7052417
AC073641.2-001	5.1086707	4.884717	5.9388437	4.2860374	5.4953427	2.0482557	3.466928	4.1786275	2.598938	3.7113981
