ENSG00000128016	ENSG00000006075	ZFP36	CCL3	physical
ENSG00000112964	ENSG00000166167	GHR	BTRC	physical
ENSG00000112964	ENSG00000168610	GHR	STAT3	physical
ENSG00000112964	ENSG00000169410	GHR	PTPN9	physical
ENSG00000112964	ENSG00000173757	GHR	STAT5B	physical
ENSG00000112964	ENSG00000175354	GHR	PTPN2	physical
ENSG00000177885	ENSG00000112964	GRB2	GHR	physical
ENSG00000179295	ENSG00000112964	PTPN11	GHR	physical
ENSG00000112964	ENSG00000184557	GHR	SOCS3	physical
ENSG00000112964	ENSG00000185338	GHR	SOCS1	physical
ENSG00000112964	ENSG00000196396	GHR	PTPN1	physical
ENSG00000259384	ENSG00000112964	GH1	GHR	physical
ENSG00000113494	ENSG00000005339	PRLR	CREBBP	physical
ENSG00000113494	ENSG00000072803	PRLR	FBXW11	physical
ENSG00000113494	ENSG00000096968	PRLR	JAK2	physical
ENSG00000120833	ENSG00000113494	SOCS2	PRLR	physical
ENSG00000113494	ENSG00000122034	PRLR	GTF3A	physical
ENSG00000113494	ENSG00000126561	PRLR	STAT5A	physical
ENSG00000113494	ENSG00000135439	PRLR	AGAP2	physical
ENSG00000113494	ENSG00000135605	PRLR	TEC	physical
ENSG00000113494	ENSG00000141968	PRLR	VAV1	physical
ENSG00000113494	ENSG00000166167	PRLR	BTRC	physical
ENSG00000173757	ENSG00000113494	STAT5B	PRLR	physical
ENSG00000113494	ENSG00000179295	PRLR	PTPN11	physical
ENSG00000184557	ENSG00000113494	SOCS3	PRLR	physical
ENSG00000113494	ENSG00000196262	PRLR	PPIA	physical
ENSG00000120889	ENSG00000003400	TNFRSF10B	CASP10	physical
ENSG00000120889	ENSG00000003402	TNFRSF10B	CFLAR	physical
ENSG00000015475	ENSG00000120889	BID	TNFRSF10B	physical
ENSG00000026103	ENSG00000120889	FAS	TNFRSF10B	physical
ENSG00000120889	ENSG00000027697	TNFRSF10B	IFNGR1	physical
ENSG00000120889	ENSG00000036257	TNFRSF10B	CUL3	physical
ENSG00000120889	ENSG00000037749	TNFRSF10B	MFAP3	physical
ENSG00000120889	ENSG00000049245	TNFRSF10B	VAMP3	physical
ENSG00000055211	ENSG00000120889	GINM1	TNFRSF10B	physical
ENSG00000120889	ENSG00000064012	TNFRSF10B	CASP8	physical
ENSG00000067182	ENSG00000120889	TNFRSF1A	TNFRSF10B	physical
ENSG00000067560	ENSG00000120889	RHOA	TNFRSF10B	physical
ENSG00000120889	ENSG00000077782	TNFRSF10B	FGFR1	physical
ENSG00000120889	ENSG00000078747	TNFRSF10B	ITCH	physical
ENSG00000120889	ENSG00000085365	TNFRSF10B	SCAMP1	physical
ENSG00000092820	ENSG00000120889	EZR	TNFRSF10B	physical
ENSG00000120889	ENSG00000102871	TNFRSF10B	TRADD	physical
ENSG00000120889	ENSG00000104341	TNFRSF10B	LAPTM4B	physical
ENSG00000104689	ENSG00000120889	TNFRSF10A	TNFRSF10B	physical
ENSG00000120889	ENSG00000105197	TNFRSF10B	TIMM50	physical
ENSG00000120889	ENSG00000105699	TNFRSF10B	LSR	physical
ENSG00000107643	ENSG00000120889	MAPK8	TNFRSF10B	physical
ENSG00000120889	ENSG00000110395	TNFRSF10B	CBL	physical
ENSG00000111321	ENSG00000120889	LTBR	TNFRSF10B	physical
ENSG00000117560	ENSG00000120889	FASLG	TNFRSF10B	physical
ENSG00000120889	ENSG00000117758	TNFRSF10B	STX12	physical
ENSG00000120889	ENSG00000118503	TNFRSF10B	TNFAIP3	physical
ENSG00000120889	ENSG00000119777	TNFRSF10B	TMEM214	physical
ENSG00000121858	ENSG00000120889	TNFSF10	TNFRSF10B	physical
ENSG00000120889	ENSG00000127191	TNFRSF10B	TRAF2	physical
ENSG00000120889	ENSG00000129625	TNFRSF10B	REEP5	physical
ENSG00000120889	ENSG00000131507	TNFRSF10B	NDFIP1	physical
ENSG00000120889	ENSG00000136026	TNFRSF10B	CKAP4	physical
ENSG00000120889	ENSG00000137275	TNFRSF10B	RIPK1	physical
ENSG00000120889	ENSG00000139370	TNFRSF10B	SLC15A4	physical
ENSG00000140391	ENSG00000120889	TSPAN3	TNFRSF10B	physical
ENSG00000120889	ENSG00000141378	TNFRSF10B	PTRH2	physical
ENSG00000141522	ENSG00000120889	ARHGDIA	TNFRSF10B	physical
ENSG00000146648	ENSG00000120889	EGFR	TNFRSF10B	physical
ENSG00000147065	ENSG00000120889	MSN	TNFRSF10B	physical
ENSG00000120889	ENSG00000148154	TNFRSF10B	UGCG	physical
ENSG00000120889	ENSG00000162769	TNFRSF10B	FLVCR1	physical
ENSG00000120889	ENSG00000163162	TNFRSF10B	RNF149	physical
ENSG00000120889	ENSG00000166900	TNFRSF10B	STX3	physical
ENSG00000120889	ENSG00000168040	TNFRSF10B	FADD	physical
ENSG00000183214	ENSG00000120889	MICA	TNFRSF10B	physical
ENSG00000188175	ENSG00000120889	HEPACAM2	TNFRSF10B	physical
ENSG00000205084	ENSG00000120889	TMEM231	TNFRSF10B	physical
ENSG00000120889	ENSG00000243279	TNFRSF10B	PRAF2	physical
ENSG00000100985	ENSG00000124875	MMP9	CXCL6	physical
ENSG00000126353	ENSG00000172724	CCR7	CCL19	physical
ENSG00000126561	ENSG00000010671	STAT5A	BTK	physical
ENSG00000012048	ENSG00000126561	BRCA1	STAT5A	physical
ENSG00000126561	ENSG00000066468	STAT5A	FGFR2	physical
ENSG00000072401	ENSG00000126561	UBE2D1	STAT5A	physical
ENSG00000126561	ENSG00000082175	STAT5A	PGR	physical
ENSG00000126561	ENSG00000084676	STAT5A	NCOA1	physical
ENSG00000126561	ENSG00000087095	STAT5A	NLK	physical
ENSG00000126561	ENSG00000091831	STAT5A	ESR1	physical
ENSG00000126561	ENSG00000096968	STAT5A	JAK2	physical
ENSG00000126561	ENSG00000099256	STAT5A	PRTFDC1	physical
ENSG00000099942	ENSG00000126561	CRKL	STAT5A	physical
ENSG00000126561	ENSG00000100030	STAT5A	MAPK1	physical
ENSG00000100385	ENSG00000126561	IL2RB	STAT5A	physical
ENSG00000100393	ENSG00000126561	EP300	STAT5A	physical
ENSG00000105639	ENSG00000126561	JAK3	STAT5A	physical
ENSG00000109320	ENSG00000126561	NFKB1	STAT5A	physical
ENSG00000126561	ENSG00000110395	STAT5A	CBL	physical
ENSG00000115414	ENSG00000126561	FN1	STAT5A	physical
ENSG00000116016	ENSG00000126561	EPAS1	STAT5A	physical
ENSG00000126561	ENSG00000116478	STAT5A	HDAC1	physical
ENSG00000126561	ENSG00000118513	STAT5A	MYB	physical
ENSG00000123609	ENSG00000126561	NMI	STAT5A	physical
ENSG00000124813	ENSG00000126561	RUNX2	STAT5A	physical
ENSG00000126457	ENSG00000126561	PRMT1	STAT5A	physical
ENSG00000127616	ENSG00000126561	SMARCA4	STAT5A	physical
ENSG00000126561	ENSG00000132170	STAT5A	PPARG	physical
ENSG00000135213	ENSG00000126561	POM121C	STAT5A	physical
ENSG00000126561	ENSG00000135439	STAT5A	AGAP2	physical
ENSG00000138109	ENSG00000126561	CYP2C9	STAT5A	physical
ENSG00000138795	ENSG00000126561	LEF1	STAT5A	physical
ENSG00000139618	ENSG00000126561	BRCA2	STAT5A	physical
ENSG00000126561	ENSG00000140009	STAT5A	ESR2	physical
ENSG00000126561	ENSG00000140262	STAT5A	TCF12	physical
ENSG00000126561	ENSG00000141562	STAT5A	NARF	physical
ENSG00000142453	ENSG00000126561	CARM1	STAT5A	physical
ENSG00000126561	ENSG00000146556	STAT5A	WASH2P	physical
ENSG00000126561	ENSG00000146648	STAT5A	EGFR	physical
ENSG00000147274	ENSG00000126561	RBMX	STAT5A	physical
ENSG00000148672	ENSG00000126561	GLUD1	STAT5A	physical
ENSG00000126561	ENSG00000150991	STAT5A	UBC	physical
ENSG00000126561	ENSG00000151849	STAT5A	CENPJ	physical
ENSG00000126561	ENSG00000153066	STAT5A	TXNDC11	physical
ENSG00000126561	ENSG00000156096	STAT5A	UGT2B4	physical
ENSG00000160691	ENSG00000126561	SHC1	STAT5A	physical
ENSG00000161011	ENSG00000126561	SQSTM1	STAT5A	physical
ENSG00000126561	ENSG00000162434	STAT5A	JAK1	physical
ENSG00000171105	ENSG00000126561	INSR	STAT5A	physical
ENSG00000126561	ENSG00000172354	STAT5A	GNB2	physical
ENSG00000126561	ENSG00000172748	STAT5A	ZNF596	physical
ENSG00000173757	ENSG00000126561	STAT5B	STAT5A	physical
ENSG00000174111	ENSG00000126561	SOCS7	STAT5A	physical
ENSG00000178301	ENSG00000126561	AQP11	STAT5A	physical
ENSG00000178568	ENSG00000126561	ERBB4	STAT5A	physical
ENSG00000126561	ENSG00000179295	STAT5A	PTPN11	physical
ENSG00000187266	ENSG00000126561	EPOR	STAT5A	physical
ENSG00000196396	ENSG00000126561	PTPN1	STAT5A	physical
ENSG00000198265	ENSG00000126561	HELZ	STAT5A	physical
ENSG00000126561	ENSG00000198821	STAT5A	CD247	physical
ENSG00000204435	ENSG00000126561	CSNK2B	STAT5A	physical
ENSG00000213401	ENSG00000126561	MAGEA12	STAT5A	physical
ENSG00000243927	ENSG00000126561	MRPS6	STAT5A	physical
ENSG00000129277	ENSG00000006075	CCL4	CCL3	physical
ENSG00000129277	ENSG00000158014	CCL4	SLC30A2	physical
ENSG00000078699	ENSG00000129988	CBFA2T2	LBP	physical
ENSG00000096155	ENSG00000129988	BAG6	LBP	physical
ENSG00000129988	ENSG00000099381	LBP	SETD1A	physical
ENSG00000129988	ENSG00000100567	LBP	PSMA3	physical
ENSG00000129988	ENSG00000104524	LBP	PYCRL	physical
ENSG00000106211	ENSG00000129988	HSPB1	LBP	physical
ENSG00000109743	ENSG00000129988	BST1	LBP	physical
ENSG00000129988	ENSG00000117595	LBP	IRF6	physical
ENSG00000129988	ENSG00000118137	LBP	APOA1	physical
ENSG00000129988	ENSG00000123131	LBP	PRDX4	physical
ENSG00000123838	ENSG00000129988	C4BPA	LBP	physical
ENSG00000129988	ENSG00000164548	LBP	TRA2A	physical
ENSG00000129988	ENSG00000166925	LBP	TSC22D4	physical
ENSG00000129988	ENSG00000166949	LBP	SMAD3	physical
ENSG00000167996	ENSG00000129988	FTH1	LBP	physical
ENSG00000170458	ENSG00000129988	CD14	LBP	physical
ENSG00000129988	ENSG00000244414	LBP	CFHR1	physical
ENSG00000134470	ENSG00000105229	IL15RA	PIAS4	physical
ENSG00000134470	ENSG00000109047	IL15RA	RCVRN	physical
ENSG00000123374	ENSG00000134470	CDK2	IL15RA	physical
ENSG00000127191	ENSG00000134470	TRAF2	IL15RA	physical
ENSG00000135446	ENSG00000134470	CDK4	IL15RA	physical
ENSG00000142867	ENSG00000134470	BCL10	IL15RA	physical
ENSG00000147044	ENSG00000134470	CASK	IL15RA	physical
ENSG00000136244	ENSG00000107295	IL6	SH3GL2	physical
ENSG00000134982	ENSG00000136244	APC	IL6	genetic
ENSG00000136244	ENSG00000160712	IL6	IL6R	physical
ENSG00000169564	ENSG00000136244	PCBP1	IL6	physical
ENSG00000104081	ENSG00000138755	BMF	CXCL9	physical
ENSG00000138755	ENSG00000110786	CXCL9	PTPN5	physical
ENSG00000138755	ENSG00000125618	CXCL9	PAX8	physical
ENSG00000138755	ENSG00000161609	CXCL9	CCDC155	physical
ENSG00000138755	ENSG00000168484	CXCL9	SFTPC	physical
ENSG00000138755	ENSG00000181392	CXCL9	SYNE4	physical
ENSG00000186810	ENSG00000138755	CXCR3	CXCL9	physical
ENSG00000149968	ENSG00000100234	MMP3	TIMP3	physical
ENSG00000102265	ENSG00000149968	TIMP1	MMP3	physical
ENSG00000149968	ENSG00000102805	MMP3	CLN5	physical
ENSG00000149968	ENSG00000104805	MMP3	NUCB1	physical
ENSG00000149968	ENSG00000105426	MMP3	PTPRS	physical
ENSG00000106511	ENSG00000149968	MEOX2	MMP3	physical
ENSG00000149968	ENSG00000120885	MMP3	CLU	physical
ENSG00000149968	ENSG00000130203	MMP3	APOE	physical
ENSG00000149968	ENSG00000132692	MMP3	BCAN	physical
ENSG00000149968	ENSG00000142687	MMP3	KIAA0319L	physical
ENSG00000149968	ENSG00000166670	MMP3	MMP10	physical
ENSG00000196104	ENSG00000149968	SPOCK3	MMP3	physical
ENSG00000149968	ENSG00000223609	MMP3	HBD	physical
ENSG00000157404	ENSG00000007264	KIT	MATK	physical
ENSG00000157404	ENSG00000010278	KIT	CD9	physical
ENSG00000157404	ENSG00000035720	KIT	STAP1	physical
ENSG00000157404	ENSG00000035928	KIT	RFC1	physical
ENSG00000157404	ENSG00000049130	KIT	KITLG	physical
ENSG00000157404	ENSG00000096968	KIT	JAK2	physical
ENSG00000157404	ENSG00000099942	KIT	CRKL	physical
ENSG00000100351	ENSG00000157404	GRAP2	KIT	physical
ENSG00000157404	ENSG00000105639	KIT	JAK3	physical
ENSG00000157404	ENSG00000105647	KIT	PIK3R2	physical
ENSG00000157404	ENSG00000106070	KIT	GRB10	physical
ENSG00000157404	ENSG00000107186	KIT	MPDZ	physical
ENSG00000157404	ENSG00000110395	KIT	CBL	physical
ENSG00000157404	ENSG00000110651	KIT	CD81	physical
ENSG00000157404	ENSG00000111679	KIT	PTPN6	physical
ENSG00000114423	ENSG00000157404	CBLB	KIT	physical
ENSG00000115325	ENSG00000157404	DOK1	KIT	physical
ENSG00000157404	ENSG00000115415	KIT	STAT1	physical
